strategy,ticker,entry_date,exit_date,action,entry_price,exit_price,shares,investment,return_pct
DeathCross,AAPL,2022-04-06,2022-05-04,SELL,168.88,156.44,3,506.63,0.07
DeathCross,AAPL,2022-04-06,2022-09-20,SELL,168.88,150.73,2,337.75,0.11
DeathCross,AAPL,2022-07-21,2022-09-20,SELL,151.6,150.73,3,454.8,0.0
DeathCross,AAPL,2022-07-21,2022-11-30,SELL,151.6,139.17,3,454.8,0.08
DeathCross,AAPL,2022-11-22,2022-11-30,SELL,145.79,139.17,3,437.38,0.04
DeathCross,AAPL,2022-11-22,2022-12-20,SELL,145.79,129.32,3,437.38,0.11
DeathCross,AAPL,2022-12-02,2022-12-20,SELL,143.66,129.32,3,430.97,0.1
DeathCross,AAPL,2022-12-02,2023-08-17,SELL,143.66,175.09,3,430.97,-0.22
DeathCross,AAPL,2023-02-06,2023-08-17,SELL,150.16,175.09,1,150.16,-0.17
DeathCross,AAPL,2023-02-06,2024-01-18,SELL,150.16,184.18,4,600.65,-0.23
DeathCross,AAPL,2023-02-06,2024-08-21,SELL,150.16,225.04,1,150.16,-0.5
DeathCross,AAPL,2023-11-15,2024-08-21,SELL,185.92,225.04,2,371.84,-0.21
DeathCross,AAPL,2023-11-15,2024-11-20,SELL,185.92,226.82,2,371.84,-0.22
DeathCross,AAPL,2024-05-09,2024-11-20,SELL,180.91,226.82,1,180.91,-0.26
DeathCross,AAPL,2024-05-09,2025-01-28,SELL,180.91,229.6,3,542.74,-0.27
DeathCross,AAPL,2024-08-28,2025-03-18,SELL,226.43,213.23,3,679.3,0.06
DeathCross,AAPL,2024-12-04,2025-06-18,SELL,241.55,195.35,3,724.65,0.19
DeathCross,AAPL,2025-03-07,2026-01-08,SELL,234.09,256.78,2,468.18,-0.1
DeathCross,AAPL,2025-03-07,2026-03-19,SELL,234.09,249.4,1,234.09,-0.07
DeathCross,AAPL,2025-06-06,2026-03-19,SELL,202.38,249.4,1,202.38,-0.23
GoldenCross,MSFT,2021-06-18,2021-10-07,BUY,249.71,284.44,3,749.12,0.14
GoldenCross,MSFT,2021-06-18,2022-01-07,BUY,249.71,303.27,1,249.71,0.21
GoldenCross,MSFT,2021-10-28,2022-01-07,BUY,312.53,303.27,1,312.53,-0.03
GoldenCross,MSFT,2021-10-28,2022-04-27,BUY,312.53,272.9,2,625.06,-0.13
GoldenCross,MSFT,2022-04-05,2022-04-27,BUY,303.05,272.9,1,303.05,-0.1
GoldenCross,MSFT,2022-04-05,2022-07-27,BUY,303.05,253.23,2,606.1,-0.17
GoldenCross,MSFT,2022-07-22,2022-07-27,BUY,257.18,253.23,1,257.18,-0.02
GoldenCross,MSFT,2022-07-22,2022-09-15,BUY,257.18,242.7,2,514.37,-0.06
GoldenCross,MSFT,2022-07-29,2022-09-15,BUY,269.27,242.7,1,269.27,-0.1
GoldenCross,MSFT,2022-07-29,2023-01-11,BUY,269.27,225.37,2,538.53,-0.16
GoldenCross,MSFT,2022-12-01,2023-01-11,BUY,247.38,225.37,1,247.38,-0.09
GoldenCross,MSFT,2022-12-01,2023-08-15,BUY,247.38,316.22,2,494.75,0.28
GoldenCross,MSFT,2023-02-08,2024-04-30,BUY,266.21,395.42,2,532.43,0.48
GoldenCross,MSFT,2023-02-08,2024-08-06,BUY,266.21,394.66,1,266.21,0.48
GoldenCross,MSFT,2023-10-26,2024-08-06,BUY,334.09,394.66,1,334.09,0.18
GoldenCross,MSFT,2023-10-26,2024-10-23,BUY,334.09,425.88,1,334.09,0.27
GoldenCross,MSFT,2024-05-30,2025-01-21,BUY,418.64,426.08,1,418.64,0.02
