strategy,ticker,return,max_drawdown,sharpe,win_rate,trades,profit_factor,avg_trade
DualEMA,SPY,2.7325695346308567,-1.4755923207951827,0.662568652379486,50.0,22,3.3264692003566796,2.461300006268119
DualEMA,GOOGL,-100.0,-100.0,0.0,22.22222222222222,9,0.04811627165255036,0.0
DualEMA,META,-100.0,-100.0,0.0,33.33333333333333,6,0.04191898291272673,0.0
DualEMA,AAPL,-38.577720542338184,-57.71956560154008,-0.4241049490965677,50.0,2,49.34158002394464,7.639063337015783
TripleEMA,QQQ,-70.43321494531918,-92.57819468149486,-0.33118826744937674,100.0,2,,6.4630165254180305
TripleEMA,AMZN,-100.0,-100.0,0.0,15.384615384615385,13,0.010572649564653,0.0
TripleEMA,MSFT,-31.242782681839383,-96.07344591199433,-0.05884039397378977,100.0,2,,1.8556130145504612
TripleEMA,NVDA,-100.0,-100.0,0.0,16.666666666666664,12,0.05162309624084606,0.0
TripleEMA,NFLX,-100.0,-100.0,0.0,18.181818181818183,11,0.02897602705618971,0.0
TripleEMA,TSLA,-100.0,-100.0,0.0,16.666666666666664,18,0.05420938555046777,0.0
TripleEMA,SPY,1.3427762652275486,-0.955418443547007,0.44100619240178324,48.717948717948715,39,1.9010862488934517,0.6528903048381718
TripleEMA,GOOGL,-100.0,-100.0,0.0,13.333333333333334,15,0.03034313693551555,0.0
TripleEMA,META,-100.0,-100.0,0.0,43.75,16,0.06018260530038022,0.0
TripleEMA,AAPL,-55.057463548209775,-77.30918321228974,-0.3988443246524086,100.0,2,,4.011912911944937
ATRTrailingStop,QQQ,-100.0,-100.0,0.0,0.0,15,0.0,0.0
ATRTrailingStop,AMZN,-100.0,-100.0,0.0,0.0,46,0.0,0.0
ATRTrailingStop,MSFT,-100.0,-100.0,0.0,0.0,13,0.0,0.0
ATRTrailingStop,NVDA,-100.0,-100.0,0.0,0.0,31,0.0,0.0
ATRTrailingStop,NFLX,-100.0,-100.0,0.0,35.714285714285715,42,0.06605335637890764,0.0
ATRTrailingStop,TSLA,-100.0,-100.0,0.0,0.0,29,0.0,0.0
ATRTrailingStop,SPY,-58.751728136267076,-73.40980517747506,-0.6622699666756212,0.0,2,0.0,-2.1045076254998407
ATRTrailingStop,GOOGL,-100.0,-100.0,0.0,0.0,45,0.0,0.0
ATRTrailingStop,META,-100.0,-100.0,0.0,19.148936170212767,47,0.08841552714807148,0.0
ATRTrailingStop,AAPL,-100.0,-100.0,0.0,0.0,14,0.0,0.0
ROCMomentum,QQQ,-100.0,-100.0,0.0,0.0,17,0.0,0.0
ROCMomentum,AMZN,-100.0,-100.0,0.0,2.272727272727273,44,0.002691997675044695,0.0
ROCMomentum,MSFT,-100.0,-100.0,0.0,0.0,15,0.0,0.0
ROCMomentum,NVDA,-100.0,-100.0,0.0,0.0,9,0.0,0.0
